Site,d15NNO3,d18ONO3
TLW,-4.6,60.7
TLW,-4.9,60.4
TLW,-4.8,61.6
TLW,-5.7,52
TLW,-5.5,56.5
TLW,-5.4,55.8
TLW,-7.3,51.1
TLW,-7.3,49
TLW,-7.4,52.6
TLW,-7.6,51.1
TLW,-7.8,54.8
TLW,-7.4,54.8
TLW,-5.8,53.9
TLW,-5.9,55.4
TLW,-5.7,53.9
Literature,-14.007,83.053
Literature,-13.556,81.794
Literature,-9.855,74.748
Literature,-8.684,79.788
Literature,-8.413,77.018
Literature,-8.369,81.803
Literature,-8.235,84.07
Literature,-8.009,83.315
Literature,-7.871,76.516
Literature,-7.868,67.954
Literature,-7.602,81.553
Literature,-6.834,77.526
Literature,-6.476,85.332
Literature,-6.429,78.03
Literature,-6.382,74.002
Literature,-6.341,86.843
Literature,-6.111,71.736
Literature,-5.971,55.623
Literature,-5.934,81.808
Literature,-5.93,69.471
Literature,-5.754,83.571
Literature,-5.745,54.617
Literature,-5.663,80.298
Literature,-5.659,67.961
Literature,-5.57,71.99
Literature,-5.482,79.291
Literature,-5.389,70.48
Literature,-5.348,83.572
Literature,-5.3,74.005
Literature,-5.21,75.767
Literature,-5.156,45.053
Literature,-5.076,79.544
Literature,-5.075,74.005
Literature,-5.031,78.789
Literature,-4.759,76.02
Literature,-4.667,69.727
Literature,-4.571,46.063
Literature,-4.352,69.224
Literature,-4.262,72.245
Literature,-4.216,68.218
Literature,-4.13,82.315
Literature,-4.037,73.001
Literature,-3.947,71.995
Literature,-3.849,42.292
Literature,-3.811,69.226
Literature,-3.631,71.744
Literature,-3.581,53.369
Literature,-3.54,69.479
Literature,-3.493,62.934
Literature,-3.45,68.22
Literature,-3.226,75.269
Literature,-3.224,68.725
Literature,-3.224,67.718
Literature,-3.223,64.949
Literature,-3.046,78.793
Literature,-2.955,71.746
Literature,-2.942,19.896
Literature,-2.863,64.447
Literature,-2.684,69.733
Literature,-2.683,66.713
Literature,-2.593,70.488
Literature,-2.546,58.156
Literature,-2.504,73.509
Literature,-2.413,69.986
Literature,-2.413,68.224
Literature,-2.412,65.707
Literature,-2.408,50.606
Literature,-2.365,55.64
Literature,-2.323,71.748
Literature,-2.142,68.98
Literature,-2.054,76.027
Literature,-1.872,70.239
Literature,-1.823,52.371
Literature,-1.823,50.861
Literature,-1.78,63.696
Literature,-1.738,74.266
Literature,-1.688,55.391
Literature,-1.645,64.451
Literature,-1.601,69.485
Literature,-1.601,66.968
Literature,-1.557,71.498
Literature,-1.244,84.082
Literature,-1.242,76.784
Literature,-1.197,75.023
Literature,-1.191,47.341
Literature,-1.147,54.891
Literature,-1.105,70.493
Literature,-1.102,52.123
Literature,-1.063,82.069
Literature,-1.016,71.5
Literature,-0.925,70.494
Literature,-0.923,61.183
Literature,-0.828,35.264
Literature,-0.648,35.265
Literature,-0.11,52.882
Literature,-0.067,64.457
Literature,0.114,57.664
Literature,0.202,69.491
Literature,0.207,42.819
Literature,0.208,41.058
Literature,0.297,44.833
Literature,0.298,41.059
Literature,0.426,82.072
Literature,0.428,68.988
Literature,0.518,66.976
Literature,0.523,40.305
Literature,0.611,53.138
Literature,0.744,63.705
Literature,0.745,61.944
Literature,0.789,67.983
Literature,0.922,81.821
Literature,0.924,70.499
Literature,0.966,86.602
Literature,1.015,62.449
Literature,1.017,50.624
Literature,1.151,60.436
Literature,1.559,42.073
Literature,1.643,83.835
Literature,1.691,64.212
Literature,1.694,43.08
Literature,1.741,35.281
Literature,1.828,55.156
Literature,1.919,46.1
Literature,1.921,33.773
Literature,1.959,84.59
Literature,1.962,63.71
Literature,2.235,46.353
Literature,2.325,43.335
Literature,2.366,76.793
Literature,2.368,61.196
Literature,2.369,50.127
Literature,2.731,46.608
Literature,2.912,36.044
Literature,3.091,49.628
Literature,3.539,70.256
Literature,3.949,31.272
Literature,4.666,73.78
Literature,4.942,12.417
LS,-7.507,67.2
LS,-4.307,68.721
LS,-3.72,67.716
LS,1.462,86.099
LS,0.201,79.304
LS,-4.895,76.272
ELA,-5.2512,68.8621
ELA,-2.9404,64.7826
ELA,-1.2835,63.7465
ELA,-3.1762,64.4635
ELA,-2.9021,63.0224
ELA,-4.964,69.0883
ELA,-6.1009,74.3747
ELA,-12.03,63.025
ELA,-8.245,67.55
ELA,-6.05,67.74
ELA,-2.395,63.845
ELA,-6.78,65.5
ELA,-8.37,63.77
ELA,-6.415,66.94
ELA,-5.175,66.995
ELA,-4.845,66.72
ELA,-3.93,66.53
ELA,-0.885,64.46
ELA,-5.155,67.565
ELA,-7.18,70.115
ELA,-4.74,72.63
ELA,-3.135,73.865
ELA,1.025,76.815
ELA,-0.185,81.515
ELA,-1.22,78.38
ELA,-3.94,74.15
ELA,-3.5962844357,61.996490758
ELA,-4.58886688,62.7882042214
ELA,-4.3154900788,63.0322866562
ELA,-4.0895113122,68.6491921094
ELA,-2.4965809999,69.9262271402
ELA,3.5768017494,67.1107597944
ELA,-3.5460381083,69.7899377437
ELA,-4.786930782,71.582587045
ELA,-4.2703762429,69.857994097
ELA,6.1599546525,65.7996770225
ELA,-3.1274348004,62.0453946125
ELA,-3.3074076781,65.1647972671
ELA,-3.3962868438,65.6684797531
ELA,-2.4837755006,72.9778479178
ELA,-1.4771129849,74.9422513987
ELA,-1.1304708524,73.6939638913
Literature,8.7404580153,77.7494300193
Literature,1.6836301951,80.2417764322
Literature,1.4461407973,77.1954795376
Literature,2.1586089907,76.467381104
Literature,2.3621713316,75.4509231995
Literature,2.0229007634,72.6952010855
Literature,1.3443596268,72.6976625407
Literature,1.2425784563,70.9567983853
Literature,0.8354537744,75.4564614736
Literature,0.6318914334,74.8767887856
Literature,0.0890585242,73.7179357006
Literature,-0.0127226463,76.0399494171
Literature,0.0551314673,77.7809366452
Literature,-0.6610169492,77.2620977647
Literature,-0.6271186441,78.8564234832
Literature,0.5254237288,78.5707442889
Literature,-0.3898305085,76.5384426431
Literature,-0.5593220339,71.6102923115
Literature,0.9661016949,73.4998771801
Literature,1.813559322,77.8507737657
Literature,2.4915254237,73.3604765414
Literature,3.4406779661,68.1465241955
Literature,4.0169491525,73.8007860477
Literature,4.2203389831,75.1058707934
Literature,3.6779661017,78.7270940801
Literature,5.406779661,76.9942274625
Literature,5.7457627119,78.4447310243
Literature,4.1109229467,79.830713422
Literature,1.9432684166,75.0423216445
Literature,1.4690939882,75.4776299879
Literature,0.8255715495,73.446191052
Literature,0.6223539373,77.7992744861
Literature,0.8255715495,77.7992744861
Literature,-0.2243861135,75.4776299879
Literature,-0.2243861135,73.5912938331
Literature,-0.2243861135,74.3168077388
Literature,0.4868755292,70.3990326481
Literature,0.4530059272,69.9637243047
Literature,0.4530059272,66.4812575574
Literature,-1.9856054191,70.5441354293
Literature,-2.1888230313,74.3168077388
Literature,0.3846153846,81.0879467997
Literature,-0.8461538462,70.6872817955
Literature,4.6923076923,70.1632585204
Literature,-0.2307692308,55.9374896093
Literature,1,67.4686616791
Literature,-2,66.944638404
Literature,-1.7692307692,70.2430590191
Literature,-1.2307692308,73.5441396509
Literature,-6,59.8556940981
Literature,2.1538461539,61.5102244389
Literature,0.3076923077,65.3566084788
Literature,-0.0769230769,68.1097256858
Literature,-3.6153846154,53.3253532835
Literature,-2.8461538462,63.7499584372
Literature,-2.0769230769,64.8565253533
Literature,-1.3076923077,64.319201995
Literature,2.0769230769,64.8804655029
Literature,0.6923076923,65.4523690773
Literature,-0.8461538462,64.915045719
Literature,1.1538461539,63.829758936
Literature,-1.7692307692,67.6761429759
Literature,-2.3846153846,67.7479634248
Literature,2.6153846154,65.0187863674
Literature,4.7692307692,51.3436408978
Literature,-1.0769230769,61.7682460515
Literature,2.6153846154,53.5594347465
Literature,3.7692307692,66.1865336658
Literature,3.8461538462,60.7175394846
Literature,-1.6923076923,63.467996675
Literature,2.1538461539,77.1910224439
Literature,5.2307692308,52.5433083957
Literature,-0.4615384615,70.6394014963
Literature,0.5384615385,71.1980049875
